AC|378 GT Zagato|I|2012|2012|Купе|6.2|механика|442|бензин|fc3fd9e64
AC|Aceca||1998|2000|Купе|3.5|механика|354|бензин|21bf650d5
AC|Aceca||1998|2000|Купе|4.6|механика|326|бензин|21bf650d5
AC|Ace||1992|2000|Родстер|2.9|автомат|195|бензин|4a06d9ce5
AC|Ace||1992|2000|Родстер|2.9|механика|195|бензин|4a06d9ce5
AC|Ace||1992|2000|Родстер|3.0|механика|223|бензин|4a06d9ce5
AC|Ace||1992|2000|Родстер|3.5|механика|354|бензин|4a06d9ce5
AC|Ace||1992|2000|Родстер|4.6|механика|326|бензин|4a06d9ce5
AC|Ace||1992|2000|Родстер|4.9|автомат|260|бензин|4a06d9ce5
AC|Cobra|Mk III|1965|1967|Родстер|7.0|механика|416|бензин|b2b593818
AC|Cobra|Mk IV|1990|2001|Родстер|4.9|механика|228|бензин|ef77c8a32
AC|Cobra|Mk IV|1990|2001|Родстер|4.9|механика|250|бензин|ef77c8a32
AC|Cobra|Mk IV|1990|2001|Родстер|4.9|механика|326|бензин|ef77c8a32
AC|Cobra|Mk IV|1990|2001|Родстер|4.9|механика|340|бензин|ef77c8a32
AC|Cobra|Mk IV|1990|2001|Родстер|4.9|механика|370|бензин|ef77c8a32
AC|Cobra|Mk IV|1990|2001|Родстер|7.0|механика|425|бензин|ef77c8a32
AC|Cobra|Mk VI|2013|2015|Родстер|6.2|механика|437|бензин|bb1880dea
AC|Cobra|Mk VI|2013|2015|Родстер|6.2|механика|647|бензин|bb1880dea
AC|Cobra|Mk VI|2013|2015|Родстер|6.2|механика|780|бензин|bb1880dea
AC|Cobra|Mk VI|2013|2015|Родстер|7.2|механика|640|бензин|bb1880dea
AC|Cobra|Mk V|1999|2007|Родстер|4.9|механика|340|бензин|ba51db493
AC|Cobra|Mk V|1999|2007|Родстер|4.9|механика|370|бензин|ba51db493
