Tesla|Cybertruck|I|2021|н.в.|Пикап Двойная кабина||автомат|1|электро|3fa3f8705
Tesla|Model 3|I|2017|н.в.|Седан||автомат|258|электро|aea3f4533
Tesla|Model 3|I|2017|н.в.|Седан||автомат|283|электро|aea3f4533
Tesla|Model 3|I|2017|н.в.|Седан||автомат|351|электро|aea3f4533
Tesla|Model 3|I|2017|н.в.|Седан||автомат|462|электро|aea3f4533
Tesla|Model S|I Рестайлинг 2|2021|н.в.|Лифтбек||автомат|1020|электро|652242100
Tesla|Model S|I Рестайлинг 2|2021|н.в.|Лифтбек||автомат|670|электро|652242100
Tesla|Model S|I Рестайлинг|2016|н.в.|Лифтбек||автомат|306|электро|0948e8b27
Tesla|Model S|I Рестайлинг|2016|н.в.|Лифтбек||автомат|320|электро|0948e8b27
Tesla|Model S|I Рестайлинг|2016|н.в.|Лифтбек||автомат|328|электро|0948e8b27
Tesla|Model S|I Рестайлинг|2016|н.в.|Лифтбек||автомат|333|электро|0948e8b27
Tesla|Model S|I Рестайлинг|2016|н.в.|Лифтбек||автомат|422|электро|0948e8b27
Tesla|Model S|I Рестайлинг|2016|н.в.|Лифтбек||автомат|449|электро|0948e8b27
Tesla|Model S|I Рестайлинг|2016|н.в.|Лифтбек||автомат|512|электро|0948e8b27
Tesla|Model S|I Рестайлинг|2016|н.в.|Лифтбек||автомат|562|электро|0948e8b27
Tesla|Model S|I Рестайлинг|2016|н.в.|Лифтбек||автомат|612|электро|0948e8b27
Tesla|Model S|I Рестайлинг|2016|н.в.|Лифтбек||автомат|762|электро|0948e8b27
Tesla|Model S|I Рестайлинг|2016|н.в.|Лифтбек||автомат|795|электро|0948e8b27
Tesla|Model S|I|2012|2016|Лифтбек||автомат|302|электро|21a1197bb
Tesla|Model S|I|2012|2016|Лифтбек||автомат|334|электро|21a1197bb
Tesla|Model S|I|2012|2016|Лифтбек||автомат|362|электро|21a1197bb
Tesla|Model S|I|2012|2016|Лифтбек||автомат|388|электро|21a1197bb
Tesla|Model S|I|2012|2016|Лифтбек||автомат|422|электро|21a1197bb
Tesla|Model S|I|2012|2016|Лифтбек||автомат|428|электро|21a1197bb
Tesla|Model S|I|2012|2016|Лифтбек||автомат|470|электро|21a1197bb
Tesla|Model S|I|2012|2016|Лифтбек||автомат|700|электро|21a1197bb
Tesla|Model S|I|2012|2016|Лифтбек||автомат|762|электро|21a1197bb
Tesla|Model X|I Рестайлинг|2021|н.в.|Внедорожник 5 дв.||автомат|1020|электро|55331a4d3
Tesla|Model X|I Рестайлинг|2021|н.в.|Внедорожник 5 дв.||автомат|670|электро|55331a4d3
Tesla|Model X|I|2015|н.в.|Внедорожник 5 дв.||автомат|333|электро|454d2d3f3
Tesla|Model X|I|2015|н.в.|Внедорожник 5 дв.||автомат|518|электро|454d2d3f3
Tesla|Model X|I|2015|н.в.|Внедорожник 5 дв.||автомат|562|электро|454d2d3f3
Tesla|Model X|I|2015|н.в.|Внедорожник 5 дв.||автомат|714|электро|454d2d3f3
Tesla|Model X|I|2015|н.в.|Внедорожник 5 дв.||автомат|762|электро|454d2d3f3
Tesla|Model X|I|2015|н.в.|Внедорожник 5 дв.||автомат|795|электро|454d2d3f3
Tesla|Model Y|I|2020|н.в.|Внедорожник 5 дв.||автомат|271|электро|db5001ed5
Tesla|Model Y|I|2020|н.в.|Внедорожник 5 дв.||автомат|345|электро|db5001ed5
Tesla|Model Y|I|2020|н.в.|Внедорожник 5 дв.||автомат|450|электро|db5001ed5
Tesla|Roadster|Concept|2017|н.в.|Тарга||автомат|772|электро|e784156d6
Tesla|Roadster|I|2008|2012|Родстер||автомат|251|электро|3fc8e8b56
Tesla|Roadster|I|2008|2012|Родстер||автомат|291|электро|3fc8e8b56
